Timeline Trace
Generated on: 2022-03-18 09:23:02
Msec since Epoch: 1647591782830
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
5.295291,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
5.314345,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
5.321273,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
5.324327,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
5.328544,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
5.331359,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
5.334241,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
5.336435,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
5.342341,clGetPlatformInfo|General,START,,,,,,,,,,,4,
5.345809,clGetPlatformInfo|General,END,,,,,,,,,,,4,
5.347867,clGetPlatformInfo|General,START,,,,,,,,,,,5,
5.350097,clGetPlatformInfo|General,END,,,,,,,,,,,5,
5.352824,clGetPlatformInfo|General,START,,,,,,,,,,,6,
5.354956,clGetPlatformInfo|General,END,,,,,,,,,,,6,
5.357,clGetPlatformInfo|General,START,,,,,,,,,,,7,
5.359259,clGetPlatformInfo|General,END,,,,,,,,,,,7,
5.370101,clGetPlatformInfo|General,START,,,,,,,,,,,8,
5.372256,clGetPlatformInfo|General,END,,,,,,,,,,,8,
5.374887,clGetPlatformInfo|General,START,,,,,,,,,,,9,
5.377159,clGetPlatformInfo|General,END,,,,,,,,,,,9,
5.388904,clGetDeviceIDs|General,START,,,,,,,,,,,10,
5.392974,clGetDeviceIDs|General,END,,,,,,,,,,,10,
5.395393,clGetDeviceIDs|General,START,,,,,,,,,,,11,
5.397762,clGetDeviceIDs|General,END,,,,,,,,,,,11,
5.400732,clRetainDevice|General,START,,,,,,,,,,,12,
5.403304,clRetainDevice|General,END,,,,,,,,,,,12,
5.406299,clRetainDevice|General,START,,,,,,,,,,,13,
5.408302,clRetainDevice|General,END,,,,,,,,,,,13,
5.41176,clCreateContext|General,START,,,,,,,,,,,14,
20.886052,clCreateContext|General,END,,,,,,,,,,,14,
20.910633,clCreateCommandQueue|General,START,,,,,,,,,,,15,
20.922613,clCreateCommandQueue|General,END,,,,,,,,,,,15,
75.144119,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
246.205248,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
246.247667,clCreateKernel|General,START,,,,,,,,,,,17,
273.414043,clCreateKernel|General,END,,,,,,,,,,,17,
273.457352,clCreateBuffer|General,START,,,,,,,,,,,18,
273.934467,clCreateBuffer|General,END,,,,,,,,,,,18,
273.941663,clCreateBuffer|General,START,,,,,,,,,,,19,
274.339879,clCreateBuffer|General,END,,,,,,,,,,,19,
274.347258,clCreateBuffer|General,START,,,,,,,,,,,20,
274.788615,clCreateBuffer|General,END,,,,,,,,,,,20,
274.796335,clCreateBuffer|General,START,,,,,,,,,,,21,
275.196764,clCreateBuffer|General,END,,,,,,,,,,,21,
275.207728,clCreateBuffer|General,START,,,,,,,,,,,22,
275.582359,clCreateBuffer|General,END,,,,,,,,,,,22,
275.588215,clCreateBuffer|General,START,,,,,,,,,,,23,
275.951907,clCreateBuffer|General,END,,,,,,,,,,,23,
275.958156,clCreateBuffer|General,START,,,,,,,,,,,24,
276.322666,clCreateBuffer|General,END,,,,,,,,,,,24,
276.328676,clCreateBuffer|General,START,,,,,,,,,,,25,
276.696116,clCreateBuffer|General,END,,,,,,,,,,,25,
276.701969,clCreateBuffer|General,START,,,,,,,,,,,26,
277.110655,clCreateBuffer|General,END,,,,,,,,,,,26,
277.118341,clCreateBuffer|General,START,,,,,,,,,,,27,
277.482074,clCreateBuffer|General,END,,,,,,,,,,,27,
277.487507,clCreateBuffer|General,START,,,,,,,,,,,28,
277.846755,clCreateBuffer|General,END,,,,,,,,,,,28,
277.852484,clCreateBuffer|General,START,,,,,,,,,,,29,
278.213765,clCreateBuffer|General,END,,,,,,,,,,,29,
278.218966,clCreateBuffer|General,START,,,,,,,,,,,30,
278.324822,clCreateBuffer|General,END,,,,,,,,,,,30,
278.328016,clCreateBuffer|General,START,,,,,,,,,,,31,
278.349627,clCreateBuffer|General,END,,,,,,,,,,,31,
278.352234,clCreateBuffer|General,START,,,,,,,,,,,32,
278.374336,clCreateBuffer|General,END,,,,,,,,,,,32,
278.377032,clCreateBuffer|General,START,,,,,,,,,,,33,
278.40153,clCreateBuffer|General,END,,,,,,,,,,,33,
278.404278,clCreateBuffer|General,START,,,,,,,,,,,34,
278.425055,clCreateBuffer|General,END,,,,,,,,,,,34,
278.42755,clCreateBuffer|General,START,,,,,,,,,,,35,
278.475895,clCreateBuffer|General,END,,,,,,,,,,,35,
278.478818,clCreateBuffer|General,START,,,,,,,,,,,36,
278.48162,clCreateBuffer|General,END,,,,,,,,,,,36,
278.484025,clCreateBuffer|General,START,,,,,,,,,,,37,
278.49765,clCreateBuffer|General,END,,,,,,,,,,,37,
278.502006,clSetKernelArg|General,START,,,,,,,,,,,38,
278.512315,clSetKernelArg|General,END,,,,,,,,,,,38,
278.514877,clSetKernelArg|General,START,,,,,,,,,,,39,
278.517698,clSetKernelArg|General,END,,,,,,,,,,,39,
278.520144,clSetKernelArg|General,START,,,,,,,,,,,40,
278.522728,clSetKernelArg|General,END,,,,,,,,,,,40,
278.525297,clSetKernelArg|General,START,,,,,,,,,,,41,
278.52796,clSetKernelArg|General,END,,,,,,,,,,,41,
278.530333,clSetKernelArg|General,START,,,,,,,,,,,42,
278.533152,clSetKernelArg|General,END,,,,,,,,,,,42,
278.535616,clSetKernelArg|General,START,,,,,,,,,,,43,
278.537937,clSetKernelArg|General,END,,,,,,,,,,,43,
278.540363,clSetKernelArg|General,START,,,,,,,,,,,44,
278.542885,clSetKernelArg|General,END,,,,,,,,,,,44,
278.545268,clSetKernelArg|General,START,,,,,,,,,,,45,
278.547939,clSetKernelArg|General,END,,,,,,,,,,,45,
278.550128,clSetKernelArg|General,START,,,,,,,,,,,46,
278.552976,clSetKernelArg|General,END,,,,,,,,,,,46,
278.555159,clSetKernelArg|General,START,,,,,,,,,,,47,
278.557444,clSetKernelArg|General,END,,,,,,,,,,,47,
278.559628,clSetKernelArg|General,START,,,,,,,,,,,48,
278.562222,clSetKernelArg|General,END,,,,,,,,,,,48,
278.564419,clSetKernelArg|General,START,,,,,,,,,,,49,
278.566744,clSetKernelArg|General,END,,,,,,,,,,,49,
278.568913,clSetKernelArg|General,START,,,,,,,,,,,50,
